"","X_id","Institution.Name","Institution.Address","Outbreak.Setting","Type.of.Outbreak","Causative.Agent.1","Causative.Agent.2","Date.Outbreak.Began","Date.Declared.Over","Active"
"1",1,"Chartwell Gibson Long Term Care Residence - Unit 3","1925 Steeles Ave E","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-12-31","2023-01-13","N"
"2",2,"Christie Gardens - Seaton","600 Melita Cres","Retirement Home","Respiratory","COVID-19","","2022-12-31","","Y"
"3",3,"Hellenic Home - Scarborough - 2B & 3B","2411 Lawrence Ave E","LTCH","Respiratory","COVID-19","","2022-12-31","","Y"
"4",4,"Lakeshore Lodge - 2 North","3197 Lakeshore Blvd","LTCH","Respiratory","COVID-19","","2022-12-31","","Y"
"5",5,"The Teddington - 3rd Fl","4 Teddington Park Ave","Retirement Home","Respiratory","Respiratory syncytial virus","","2022-12-31","2023-01-09","N"
"6",6,"Delmanor Prince Edward - Etobicoke - 6th Fl","4180 Dundas Street W","Retirement Home","Respiratory","COVID-19","","2022-12-30","2023-01-13","N"
"7",7,"Kennedy Lodge - Main North 1st Fl","1400 Kennedy Rd","LTCH","Respiratory","Respiratory syncytial virus","","2022-12-30","2023-01-13","N"
"8",8,"Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW","2075 Bayview Ave","LTCH","Respiratory","COVID-19","","2022-12-30","2023-01-09","N"
"9",9,"Westside - Etobicoke - 4th Fl","1145 Albion Rd","LTCH","Respiratory","COVID-19","","2022-12-30","2023-01-10","N"
"10",10,"Cummer Lodge - 3 South & Main Fl (SCU)","205 Cummer Ave","LTCH","Respiratory","COVID-19","","2022-12-29","","Y"
"11",11,"Kipling Acres - Etobicoke - 1S (Humber & Pinepoint) & 2S (Elms)","2233 Kipling Ave","LTCH","Respiratory","COVID-19","","2022-12-29","","Y"
"12",12,"Sunnybrook Health Sciences Centre - St. John's Rehab - A4","285 Cummer Avenue","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-29","","Y"
"13",13,"Ukrainian Canadian Care Centre - 2nd & 3rd Fl","60 Richview Road","LTCH","Respiratory","COVID-19","","2022-12-29","","Y"
"14",14,"Unity Health Toronto - Providence - B4","3276 St. Clair Avenue East","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-29","","Y"
"15",15,"Unity Health Toronto - St. Joseph's - 6G","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-29","2023-01-11","N"
"16",16,"Yee Hong Centre - Scarborough McNicoll - 2nd Fl","2311 McNicoll Ave","LTCH","Respiratory","COVID-19","","2022-12-29","2023-01-16","N"
"17",17,"Cedarvale Terrace - 2nd Fl","429 Walmer Road","LTCH","Respiratory","COVID-19","","2022-12-28","","Y"
"18",18,"Chartwell White Eagle Long Term Care Residence - 2nd, 3rd & 4th Fl","138 Dowling Ave","LTCH","Respiratory","COVID-19","","2022-12-28","2023-01-16","N"
"19",19,"Craiglee Nursing Home - 3rd Fl West","102 Craiglee Dr","LTCH","Enteric","Unable to identify","","2022-12-28","2023-01-05","N"
"20",20,"Sunnybrook Health Sciences Centre - K3CA","2075 Bayview Ave","Hospital-Acute Care","Other","CPE Unspecified (NDM)","","2022-12-28","2023-01-16","N"
"21",21,"Unity Health Toronto - Providence - B3","3276 St. Clair Avenue East","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-28","2023-01-11","N"
"22",22,"Valleyview Residence - North York - 4 East","541 Finch Ave W","LTCH","Respiratory","COVID-19","","2022-12-28","2023-01-17","N"
"23",23,"West Park Long Term Care Centre - Hughes & Prittie","82 Buttonwood Avenue","LTCH","Respiratory","COVID-19","","2022-12-28","2023-01-14","N"
"24",24,"Chartwell Lansing Retirement Residence - 2nd & 3rd Fl","10 Senlac Rd","Retirement Home","Respiratory","COVID-19","","2022-12-27","","Y"
"25",25,"Unity Health Toronto - St. Joseph's - 4M","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-27","","Y"
"26",26,"Cummer Lodge - 4 South & North","205 Cummer Ave","LTCH","Respiratory","Respiratory syncytial virus","Rhinovirus","2022-12-26","2023-01-14","N"
"27",27,"Elm Grove Living Centre - 2nd Fl","35 Elm Grove Ave","LTCH","Respiratory","Respiratory syncytial virus","","2022-12-26","2023-01-04","N"
"28",28,"Extendicare Guildwood - West Unit","60 Guildwood Pky","LTCH","Enteric","Norovirus-like","","2022-12-26","2023-01-03","N"
"29",29,"Hazelton Place","111 Avenue Rd","Retirement Home","Respiratory","Influenza A (Not subtyped)","","2022-12-26","2023-01-16","N"
"30",30,"North York General Hospital - General Site - 6N","4001 Leslie Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-26","2023-01-05","N"
"31",31,"Extendicare Bayview - 1st Fl South Wing","550 Cummer Ave","LTCH","Enteric","Pending","","2022-12-25","","Y"
"32",32,"Hellenic Care for Seniors","215 Tyrrel Avenue","LTCH","Respiratory","COVID-19","","2022-12-24","","Y"
"33",33,"Midland Gardens Care Community - Scarborough - 3rd, 4th & 6th Fl","130 Midland Ave","LTCH","Respiratory","COVID-19","","2022-12-24","","Y"
"34",34,"North Park Nursing Home - 1st & 2nd Fl","450 Rustic Rd","LTCH","Respiratory","Respiratory syncytial virus","Influenza A (Not subtyped)","2022-12-24","2023-01-06","N"
"35",35,"Cedarbrook Lodge TCU - 6th Fl","520 Markham Rd","Retirement Home","Enteric","Norovirus-like","","2022-12-23","2023-01-10","N"
"36",36,"Centre For Addiction and Mental Health - Queen Street Site - Unit 3-5/ATU","1001 Queen Street West","Hospital-Psychiatric","Respiratory","COVID-19","","2022-12-23","2023-01-12","N"
"37",37,"Pine Villa Seniors Transitional Care - 2nd & 3rd Fl (Sprint)","1035 Eglinton Avenue W","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-23","2023-01-09","N"
"38",38,"RCC - Humber River Hospital - Finch Site - 6 East","2111 Finch Avenue West","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-23","2023-01-08","N"
"39",39,"University Health Network - Toronto Western - 6AB","399 Bathurst Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-23","2023-01-06","N"
"40",40,"Yee Hong Centre - Scarborough Finch - 5th Fl North","60 Scottfield Dr","LTCH","Respiratory","COVID-19","","2022-12-23","2023-01-16","N"
"41",41,"New Horizons Tower - 3rd Fl","1140 Bloor St W","Retirement Home","Respiratory","COVID-19","","2022-12-22","2023-01-02","N"
"42",42,"Scarborough Health Network - Scarborough General - Satellite Transitional Care Unit","1029 McNicoll Ave","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-22","2023-01-01","N"
"43",43,"Trillium Health Partners - McCall Centre for Continuing Care - 2nd Fl CCC","140 Sherway Dr","Hospital-Chronic Care","Respiratory","Respiratory syncytial virus","","2022-12-22","2022-12-28","N"
"44",44,"University Health Network - Toronto General - 8ES","200 Elizabeth Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-22","2022-12-31","N"
"45",45,"Hawthorne Place Care Centre - 1st Fl, 3rd Fl & Convalescent Unit","2045 Finch Ave W","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-12-21","2023-01-04","N"
"46",46,"Hillcrest Reactivation Centre - 3rd Fl","47 Austin Terr","Transitional Care","Respiratory","COVID-19","","2022-12-21","2023-01-05","N"
"47",47,"Sts. Peter and Paul Residence - 3rd Fl","221 Milner Ave","Retirement Home","Respiratory","COVID-19","","2022-12-21","2023-01-03","N"
"48",48,"University Health Network - Toronto Western - 8B","399 Bathurst Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-21","2023-01-12","N"
"49",49,"Cedarbrook Lodge Retirement Residence - 2nd, 3rd & 5th Fl","520 Markham Rd","Retirement Home","Enteric","Norovirus-like","","2022-12-20","2023-01-05","N"
"50",50,"Sinai Health System - Hennick Bridgepoint - 2N","1 Bridgepoint Dr","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-20","2023-01-03","N"
"51",51,"Unity Health Toronto - Houses of Providence - HOP 3W","3276 St. Clair Ave E","LTCH","Respiratory","Respiratory syncytial virus","","2022-12-20","2022-12-26","N"
"52",52,"Unity Health Toronto - Houses of Providence - HOP 4W Oak & Willow","3276 St Clair Ave E","LTCH","Respiratory","COVID-19","","2022-12-20","2023-01-09","N"
"53",53,"Chester Village - 2W","3555 Danforth Ave","LTCH","Respiratory","COVID-19","","2022-12-19","2023-01-16","N"
"54",54,"Runnymede Healthcare Centre - 3 West","625 Runnymede Road","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-19","2023-01-06","N"
"55",55,"Sinai Health System - Mount Sinai - 10N","600 University Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-19","2023-01-08","N"
"56",56,"Sinai Health System - Mount Sinai - 9S","600 University Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-19","2023-01-02","N"
"57",57,"Bendale Acres - 5th Fl","2920 Lawrence Ave E","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-12-18","2022-12-30","N"
"58",58,"Norfinch Care Community - Unit 3B","22 Norfinch Dr","LTCH","Respiratory","COVID-19","","2022-12-18","2023-01-04","N"
"59",59,"University Health Network - Transitional Care Program - Queens Estate - 6th Fl","265 Queens Dr","Transitional Care","Respiratory","COVID-19","","2022-12-18","2023-01-10","N"
"60",60,"Unity Health Toronto - Providence - A5","3276 St. Clair Avenue East","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-17","2023-01-07","N"
"61",61,"Weston Gardens Retirement Residence","303 Queens Dr","Retirement Home","Respiratory","COVID-19","","2022-12-17","","Y"
"62",62,"Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 3rd Fl","500 Kingston Rd","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-16","2022-12-25","N"
"63",63,"Fieldstone Commons Care Community - 3rd Fl (3A)","1000 Ellesmere Rd","LTCH","Enteric","Unable to identify","","2022-12-16","2022-12-29","N"
"64",64,"Harold And Grace Baker Centre - A-Wing","1 Northwestern Ave","LTCH","Respiratory","Respiratory syncytial virus","","2022-12-16","2023-01-13","N"
"65",65,"Unity Health Toronto - St. Joseph's - 3M","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-16","2023-01-03","N"
"66",66,"West Park Long Term Care Centre - Glenwyld House","82 Buttonwood Avenue","LTCH","Respiratory","COVID-19","","2022-12-16","2023-01-09","N"
"67",67,"Centre for Addiction and Mental Health - Queen Street Site - PRT7","1001 Queen Street West","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-15","2022-12-25","N"
"68",68,"Mon Sheong Scarborough Long Term Care Centre - 2 North & 2 South","2030 McNicoll Ave","LTCH","Respiratory","COVID-19","","2022-12-15","2023-01-05","N"
"69",69,"Unity Health Toronto - St. Michael's - 14CG","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-15","2022-12-23","N"
"70",70,"Michael Garron Hospital - H7","825 Coxwell Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-14","2022-12-20","N"
"71",71,"Shepherd Lodge - 5th Fl South, 6th Fl North","3760 Sheppard Avenue East","LTCH","Respiratory","COVID-19","","2022-12-14","","Y"
"72",72,"Unity Health Toronto - Houses of Providence - 2 West","3276 St Clair Ave E","LTCH","Respiratory","COVID-19","","2022-12-14","2022-12-23","N"
"73",73,"University Health Network - Toronto General - 9ES","200 Elizabeth Street","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-14","2023-01-02","N"
"74",74,"Valleyview Residence - 4 West","541 Finch Ave W","Retirement Home","Respiratory","Unable to identify","","2022-12-14","2023-01-05","N"
"75",75,"Altamont Care Community - Wing 4","92 Island Rd","LTCH","Respiratory","COVID-19","","2022-12-13","2022-12-26","N"
"76",76,"Chartwell Guildwood Retirement Residence - Memory Living","65 Livingston Rd","Retirement Home","Respiratory","Respiratory syncytial virus","","2022-12-13","2022-12-22","N"
"77",77,"Extendicare Scarborough - 2 East","3830 Lawrence Ave E","LTCH","Respiratory","Enterovirus/Rhinovirus","","2022-12-13","2022-12-27","N"
"78",78,"Fudger House - 3W","439 Sherbourne St","LTCH","Respiratory","COVID-19","","2022-12-13","2023-01-11","N"
"79",79,"The Sumach by Chartwell - 7th Fl","146 Sumach St","Retirement Home","Respiratory","COVID-19","","2022-12-13","2022-12-22","N"
"80",80,"Unity Health Toronto - Houses of Providence - 1W - Balsam House","3276 St Clair Ave E","LTCH","Respiratory","COVID-19","","2022-12-13","2023-01-02","N"
"81",81,"Unity Health Toronto - Providence - A4","3276 St Clair Ave E","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-13","2022-12-23","N"
"82",82,"Chartwell Scarlett Heights Retirement Residence - 3rd Fl","4005 Eglinton Avenue W","Retirement Home","Respiratory","COVID-19","","2022-12-12","2022-12-23","N"
"83",83,"Cummer Lodge - 4th Fl","205 Cummer Ave","LTCH","Respiratory","Influenza A (H3)","","2022-12-12","2022-12-21","N"
"84",84,"Fudger House - 1 East","439 Sherbourne St","LTCH","Respiratory","Respiratory syncytial virus","Metapneumovirus, Rhinovirus","2022-12-12","","Y"
"85",85,"Runnymede Healthcare Centre - 3E","625 Runnymede Road","Hospital-Chronic Care","Respiratory","COVID-19","","2022-12-12","2023-01-01","N"
"86",86,"Sunnybrook Health Sciences Centre - Bayview Campus - C2","2075 Bayview Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-12","2022-12-22","N"
"87",87,"The Annex - 4th Fl","123 Spadina Rd","Retirement Home","Enteric","Unable to identify","","2022-12-12","2022-12-17","N"
"88",88,"The Dunfield Retirement Residence - 4th Fl","77 Dunfield Ave","Retirement Home","Respiratory","Parainfluenza","","2022-12-12","2022-12-20","N"
"89",89,"The Kensington Gardens - 1E, 2E & 3E","25 Brunswick Ave","LTCH","Respiratory","Influenza A (Not subtyped)","Rhinovirus, Respiratory syncytial virus","2022-12-12","2023-01-01","N"
"90",90,"Trillium Health Partners - McCall Centre for Continuing Care - 2nd Fl","140 Sherway Dr","Hospital-Chronic Care","Respiratory","Respiratory syncytial virus","","2022-12-12","2022-12-19","N"
"91",91,"Chartwell Westbury Long Term Care Residence - 3rd Fl","495 The West Mall","LTCH","Respiratory","Respiratory syncytial virus","","2022-12-11","2022-12-21","N"
"92",92,"Copernicus Lodge - 2S, 3S & 2N","66 Roncesvalles Ave","LTCH","Respiratory","COVID-19","","2022-12-11","2023-01-03","N"
"93",93,"Sunnybrook Health Sciences Centre - Bayview Campus - K3C Complex Malignant Haematology Unit","2075 Bayview Avenue","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-11","2022-12-20","N"
"94",94,"Unity Health Toronto - St. Joseph's - 2M","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19","","2022-12-11","2022-12-20","N"
"95",95,"Chartwell Westbury Long Term Care Residence - 3rd Fl","495 The West Mall","LTCH","Respiratory","COVID-19","","2022-12-10","2022-12-28","N"
"96",96,"Humber Valley Terrace","95 Humber College Blvd","LTCH","Respiratory","COVID-19","","2022-12-10","2023-01-09","N"
"97",97,"Copernicus Lodge - 5th Fl","66 Roncesvalles Ave","LTCH","Respiratory","Influenza A (Not subtyped)","","2022-12-09","2022-12-18","N"
